#SampBsub = Samp - alpha * Bkg
#Samp : Sgi4X_00017.avg
#Bkg : Sgibuf_00016.avg
#alpha : 1.00000
#SampBsub : Sgi4X_00017_Bsub.dat
#Data Dir :  C:\Users\zuox\Box\work\matlab_codes\matlab_12IDB\bioSAXSproc\example\
#Time : 20-Sep-2022 16:18:33
# 
#  q          I(q)          I(q)_err
5.32460E-02  1.74658E-02  2.2322E-04
5.46630E-02  1.63721E-02  2.1601E-04
5.61170E-02  1.53110E-02  2.0762E-04
5.76100E-02  1.43629E-02  1.9961E-04
5.91430E-02  1.33276E-02  1.9227E-04
6.07160E-02  1.22899E-02  1.8491E-04
6.23310E-02  1.12658E-02  1.7816E-04
6.39890E-02  1.03562E-02  1.7211E-04
6.56920E-02  9.44220E-03  1.6538E-04
6.74390E-02  8.44594E-03  1.5944E-04
6.92330E-02  7.66995E-03  1.5392E-04
7.10750E-02  6.63324E-03  1.4799E-04
7.29660E-02  5.96603E-03  1.4346E-04
7.49070E-02  5.25655E-03  1.3824E-04
7.69000E-02  4.47054E-03  1.3716E-04
7.89460E-02  3.88664E-03  1.4058E-04
8.10460E-02  3.25781E-03  1.4525E-04
8.32020E-02  2.90900E-03  1.3561E-04
8.54150E-02  2.18803E-03  1.2732E-04
8.76880E-02  1.83195E-03  1.2632E-04
9.00200E-02  1.45820E-03  1.2055E-04
9.24150E-02  1.16436E-03  1.1469E-04
9.48740E-02  7.88607E-04  1.0984E-04
9.73980E-02  6.93346E-04  1.0544E-04
9.99890E-02  5.03014E-04  1.0968E-04
1.01988E-01  3.92603E-04  1.1574E-04
1.03988E-01  3.44826E-04  1.1469E-04
1.05988E-01  2.64269E-04  1.1309E-04
1.07988E-01  2.80140E-04  1.1185E-04
1.09987E-01  2.37026E-04  1.1077E-04
1.11987E-01  1.80826E-04  1.0928E-04
1.13987E-01  2.20757E-04  1.0827E-04
1.15987E-01  2.12153E-04  1.0737E-04
1.17987E-01  2.59064E-04  1.0627E-04
1.19986E-01  1.89712E-04  1.0586E-04
1.21986E-01  2.69297E-04  1.0517E-04
1.23986E-01  2.75283E-04  1.0427E-04
1.25986E-01  3.00762E-04  1.0332E-04
1.27985E-01  1.92003E-04  1.0252E-04
1.29985E-01  3.21657E-04  1.0176E-04
1.31985E-01  3.57662E-04  1.0124E-04
1.33985E-01  3.48510E-04  1.0026E-04
1.35984E-01  4.16954E-04  9.9346E-05
